Brasil e Município;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Amendoim (em casca);Banana (cacho);Batata-doce;Batata-inglesa;Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Castanha de caju;Erva-mate (folha verde);Fava (em grão);Feijão (em grão);Girassol (em grão);Guaraná (semente);Juta (fibra);Malva (fibra);Mamona (baga);Mandioca;Manga;Melancia;Melão;Milho (em grão);Noz (fruto seco);Pimenta-do-reino;Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Paes Landim (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;176;-;-;-;-;-;74;-;-;-;273;-;-;-;-;-;-;-;-;-;-
Pajeú do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;3;-;16;105;-;-;-;-;-;35;-;1455;22915;525;-;-;-;-;-;-;-;-;-;-
Palmeira do Piauí (PI);...;-;-;-;32;-;-;-;-;-;-;...;129;-;18;279;-;-;-;-;-;151;-;-;-;75187;-;-;74040;-;-;-;-;-;-;-
Palmeirais (PI);...;-;-;-;349;-;-;-;-;-;-;...;541;-;374;400;-;-;-;-;-;296;163;485;-;2838;-;-;5263;-;-;-;-;-;-;-
Paquetá (PI);...;-;-;-;-;-;-;-;-;-;-;...;2081;-;-;1596;-;-;-;-;-;1008;-;-;-;600;-;-;-;-;-;-;-;-;-;-
Parnaguá (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1011;-;-;-;-;-;172;-;-;-;3125;-;-;2994;-;-;-;-;-;-;-
Parnaíba (PI);...;-;-;-;12895;-;-;-;-;-;-;...;129;-;-;412;-;-;-;-;-;828;35;4978;-;151;-;-;-;-;-;-;-;-;-;-
Passagem Franca do Piauí (PI);...;-;-;-;34;-;-;-;-;-;-;...;33;-;9;84;-;-;-;-;-;37;-;1900;-;191;-;-;-;-;-;-;-;-;-;-
Patos do Piauí (PI);...;-;-;-;175;54;-;-;-;-;-;...;39;-;-;225;-;-;-;-;-;115;176;32;-;284;-;-;-;-;-;-;-;-;-;-
Pau D'Arco do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;130;-;9;228;-;-;-;-;-;41;-;1425;-;250;-;-;-;-;-;-;-;-;-;-
Paulistana (PI);...;-;12;-;150;-;-;-;-;-;-;...;-;-;-;372;-;-;-;-;-;-;-;-;-;302;-;-;-;-;-;-;-;-;-;-
Pavussu (PI);...;-;-;-;-;-;-;-;-;-;-;...;40;-;24;1323;-;-;-;-;-;105;-;-;-;1485;-;-;-;-;-;-;-;-;-;-
Pedro II (PI);...;-;-;-;-;-;-;-;-;-;-;...;140;-;86;1595;-;-;-;-;-;373;-;194;-;1389;-;-;-;-;-;-;-;-;-;-
Pedro Laurentino (PI);...;-;-;-;-;-;-;-;-;-;-;...;3;-;-;50;-;-;-;-;-;18;-;-;-;311;-;-;-;-;-;-;-;-;-;-
Nova Santa Rita (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;266;-;-;-;-;-;19;-;-;-;693;-;-;-;-;-;-;-;-;-;-
Picos (PI);...;-;-;-;2047;40;-;-;-;-;-;...;783;-;-;1056;-;-;-;-;-;520;605;567;-;882;-;-;-;-;500;-;-;-;-;-
Pimenteiras (PI);...;-;-;-;193;-;-;-;-;-;-;...;441;-;28;1132;-;-;-;-;-;69;-;392;-;946;-;-;-;-;-;-;-;-;-;-
Pio IX (PI);...;-;-;-;-;-;-;-;-;-;-;...;24765;-;12;13511;-;-;-;-;-;648;-;-;-;4425;-;-;-;-;-;-;-;-;-;-
Piracuruca (PI);...;-;-;-;765;-;-;-;-;-;-;...;1183;-;-;970;-;-;-;-;-;523;-;-;-;3660;-;-;11821;-;-;-;-;-;-;-
Piripiri (PI);...;-;-;-;248;-;-;-;-;-;-;...;364;-;28;1431;-;-;-;-;-;573;144;544;-;1310;-;-;-;-;-;-;-;-;-;-
Porto (PI);...;-;-;-;-;-;-;-;-;-;-;...;9;-;-;101;-;-;-;-;-;182;-;-;-;250;-;-;-;-;-;-;-;-;-;-
Prata do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;11;-;18;67;-;-;-;-;-;104;-;110;-;28;-;-;-;-;-;-;-;-;-;-
Queimada Nova (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;365;-;-;-;-;-;46;-;-;-;182;-;-;-;-;-;-;-;-;-;-
Redenção do Gurguéia (PI);...;-;-;-;90;-;-;-;-;-;-;...;41;-;-;482;-;-;-;-;-;220;-;640;-;7717;-;-;14628;-;-;-;-;-;-;-
Regeneração (PI);...;-;-;-;368;-;-;-;-;-;-;...;93;-;17;356;-;-;-;-;-;416;-;-;-;11175;-;-;164515;-;-;-;-;-;-;-
Riacho Frio (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;302;-;-;-;-;-;105;-;-;-;218;-;-;-;-;-;-;-;-;-;-
Ribeira do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;263;-;-;-;-;-;36;-;-;-;308;-;-;-;-;-;-;-;-;-;-
Rio Grande do Piauí (PI);...;-;-;-;139;-;-;-;-;-;-;...;141;-;43;451;-;-;-;-;-;76;-;600;-;750;-;-;-;-;-;-;-;-;-;-
Santa Cruz do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;73;-;-;410;-;-;-;-;-;22;-;-;-;357;-;-;-;-;-;-;-;-;-;-
Santa Cruz dos Milagres (PI);...;-;-;-;-;-;-;-;-;-;-;...;7;-;-;24;-;-;-;-;-;28;-;-;-;510;-;-;-;-;-;-;-;-;-;-
Santa Luz (PI);...;-;-;14;1350;-;-;-;-;-;-;...;10;-;76;1185;-;-;-;-;-;180;-;-;-;1540;-;-;-;-;-;-;-;-;-;-
Santana do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;23;-;-;1580;-;-;-;-;-;5610;-;-;-;550;-;-;-;-;-;-;-;-;-;-
Santa Rosa do Piauí (PI);...;-;-;-;113;-;-;-;-;-;-;...;11;-;53;429;-;-;-;-;-;80;-;-;-;1582;-;-;-;-;-;-;-;-;-;-
Santo Antônio de Lisboa (PI);...;-;-;-;-;42;-;-;-;-;-;...;4799;-;-;196;-;-;-;-;-;162;-;-;-;196;-;-;-;-;-;-;-;-;-;-
Santo Antônio dos Milagres (PI);...;-;-;-;-;-;-;-;-;-;-;...;7;-;9;35;-;-;-;-;-;21;-;-;-;115;-;-;-;-;-;-;-;-;-;-
Santo Inácio do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;12;-;-;244;-;-;-;-;-;48;-;-;-;547;-;-;-;-;-;-;-;-;-;-
São Braz do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;35;-;-;287;-;-;-;-;-;2549;-;-;-;1062;-;-;-;-;-;-;-;-;-;-
São Félix do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;32;-;10;27;-;-;-;-;-;34;-;-;-;142;-;-;-;-;-;-;-;-;-;-
São Francisco de Assis do Piauí (PI);...;-;6;-;-;-;-;-;-;-;-;...;6;-;-;405;-;-;-;-;-;48;-;-;-;315;-;-;-;-;-;-;-;-;-;-
São Francisco do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;616;-;-;-;-;-;79;-;-;-;737;-;-;-;-;-;-;-;-;-;-
São Gonçalo do Gurguéia (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;959;-;-;-;-;-;134;-;-;-;435;-;-;7290;-;-;-;-;-;-;-
São Gonçalo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;172;-;9;252;-;-;-;-;-;130;-;450;-;4261;-;-;23400;-;-;-;-;-;-;-
São João da Canabrava (PI);...;-;-;-;-;-;-;-;-;-;-;...;189;-;-;1399;-;-;-;-;-;875;-;-;-;918;-;-;-;-;-;-;-;-;-;-
São João da Fronteira (PI);...;-;-;-;-;-;-;-;-;-;-;...;101;-;-;420;-;-;-;-;-;142;-;-;-;562;-;-;-;-;-;-;-;-;-;-
São João da Serra (PI);...;-;-;-;-;-;-;-;-;-;-;...;3;-;-;254;-;-;-;-;-;14;-;-;-;330;-;-;-;-;-;-;-;-;-;-
São João da Varjota (PI);...;-;-;-;-;-;-;-;-;-;-;...;70;-;-;72;-;-;-;-;-;210;-;-;-;336;-;-;-;-;-;-;-;-;-;-
São João do Arraial (PI);...;-;-;-;54;-;-;-;-;-;-;...;33;-;18;188;-;-;-;-;-;189;-;-;-;209;-;-;-;-;-;-;-;-;-;-
São João do Piauí (PI);...;-;-;-;477;-;-;-;-;-;-;...;3;-;-;338;-;-;-;-;-;245;-;-;35;323;-;-;-;-;-;-;-;-;-;91
São José do Divino (PI);...;-;-;-;-;-;-;-;-;-;-;...;36;-;-;512;-;-;-;-;-;98;-;-;-;661;-;-;-;-;-;-;-;-;-;-
São José do Peixe (PI);...;-;-;-;-;-;-;-;-;-;-;...;29;-;-;167;-;-;-;-;-;35;-;-;-;1330;-;-;-;-;-;-;-;-;-;-
São José do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;204;-;-;3150;-;-;-;-;-;4200;-;-;-;1478;-;-;-;-;-;-;-;-;-;-
São Julião (PI);...;-;-;-;-;-;-;-;-;-;-;...;68;-;-;1268;-;-;-;-;-;158;-;-;-;317;-;-;-;-;-;-;-;-;-;-
São Lourenço do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;532;-;-;-;-;-;262;-;-;-;86;-;-;-;-;-;-;-;-;-;-
São Luis do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;17;-;-;139;-;-;-;-;-;41;-;-;-;216;-;-;-;-;-;-;-;-;-;-
São Miguel da Baixa Grande (PI);...;-;-;-;-;-;-;-;-;-;-;...;16;-;100;14;-;-;-;-;-;176;-;-;-;3598;-;-;-;-;-;-;-;-;-;-
São Miguel do Fidalgo (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;150;-;-;-;-;-;54;-;-;-;705;-;-;-;-;-;-;-;-;-;-
São Miguel do Tapuio (PI);...;-;-;-;235;-;-;-;-;-;-;...;101;-;-;1575;-;-;-;-;-;249;-;-;-;946;-;-;-;-;-;-;-;-;-;-
São Pedro do Piauí (PI);...;-;-;-;107;-;-;-;-;-;-;...;132;-;68;186;-;-;-;-;-;29;-;270;-;1473;-;-;1404;-;90;-;-;-;-;-
São Raimundo Nonato (PI);...;-;-;-;-;-;-;-;-;-;-;...;106;-;-;1148;-;-;-;-;-;2342;-;-;-;384;-;-;-;-;-;-;-;-;-;-
Sebastião Barros (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;797;-;-;-;-;-;228;-;-;-;1161;-;-;7752;-;-;-;-;-;-;-
Sebastião Leal (PI);...;-;46377;-;85;-;-;-;-;-;-;...;-;-;-;888;-;-;-;-;-;74;-;-;-;123548;-;-;294798;1985;-;-;-;-;-;-
Sigefredo Pacheco (PI);...;-;-;-;-;-;-;-;-;-;-;...;78;-;-;1057;-;-;-;-;-;139;-;749;-;990;-;-;-;-;-;-;-;-;-;-
Simões (PI);...;-;142;-;-;-;-;-;-;-;-;...;3;-;-;833;-;-;-;-;-;19404;-;117;-;2524;-;-;-;-;1380;-;-;-;-;-
Simplício Mendes (PI);...;-;-;-;425;-;-;-;-;-;-;...;-;-;-;227;-;-;-;-;-;100;-;-;-;324;-;-;-;-;-;-;-;-;-;-
Socorro do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;22;-;-;165;-;-;-;-;-;17;-;-;-;1366;-;-;-;-;-;-;-;-;-;-
Sussuapara (PI);...;-;-;-;1764;-;-;-;-;-;-;...;11;-;-;137;-;-;-;-;-;93;-;140;-;180;-;-;-;-;-;-;-;-;-;-
Tamboril do Piauí (PI);...;-;-;-;18;-;-;-;-;-;-;...;3;-;-;427;-;-;-;-;-;7;-;-;-;975;-;-;-;-;-;-;-;-;-;-
Tanque do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;133;-;447;60;-;-;-;-;-;104;-;-;-;83;-;-;10513;-;-;-;-;-;-;-
Teresina (PI);...;-;-;-;733;-;-;-;-;-;-;...;319;-;19;944;-;-;-;-;-;754;470;773;-;2266;-;-;-;-;-;-;-;-;-;-
União (PI);...;-;-;-;90;-;-;-;-;-;-;...;93;-;18;1050;-;-;-;-;-;436;291;960;-;3406;-;-;-;-;-;-;-;-;-;-
Uruçuí (PI);...;-;22513;-;83;-;-;-;-;-;-;...;277;-;60;3707;-;-;-;-;-;313;-;288;-;672666;-;-;1627838;5512;-;-;-;-;-;-
Valença do Piauí (PI);...;-;-;-;2625;-;-;-;-;-;-;...;354;-;-;162;-;-;-;-;-;897;32;158;-;172;-;-;-;-;-;-;-;-;-;-
Várzea Branca (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;2072;-;-;-;-;-;151;-;-;-;1221;-;-;-;-;-;-;-;-;-;-
Várzea Grande (PI);...;-;-;-;390;-;-;-;-;-;-;...;69;-;683;7;-;-;-;-;-;32;-;168;-;139;-;-;-;-;-;-;-;-;-;-
Vera Mendes (PI);...;-;-;-;-;50;-;-;-;-;-;...;36;-;-;1794;-;-;-;-;-;405;-;-;-;2373;-;-;-;-;-;-;-;-;-;-
Vila Nova do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;17;-;-;701;-;-;-;-;-;176;-;-;-;540;-;-;-;-;-;-;-;-;-;-
Wall Ferraz (PI);...;-;-;-;-;-;-;-;-;-;-;...;44;-;-;1015;-;-;-;-;-;210;-;-;-;270;-;-;-;-;-;-;-;-;-;-
Abaiara (CE);...;-;348;69;1270;-;-;-;-;-;-;...;7;-;98;2160;-;-;-;-;-;443;139;-;-;5311;-;-;-;-;457;-;-;-;-;-
Acarape (CE);...;-;-;-;92;-;-;-;-;-;-;...;519;-;156;795;-;-;-;-;-;38;101;-;-;679;-;-;-;-;-;-;-;-;-;-
Acaraú (CE);...;-;-;-;6597;641;-;-;-;-;-;...;6040;-;-;949;-;-;-;-;-;18467;1366;11166;-;990;-;-;-;-;-;-;-;-;-;-
Acopiara (CE);...;-;44;-;712;-;-;-;-;-;-;...;6;-;33;14993;-;-;-;-;-;210;121;-;-;21026;-;-;-;-;-;-;-;-;-;-
Aiuaba (CE);...;-;-;-;293;-;-;-;-;-;-;...;12;-;463;1654;-;-;-;-;-;492;-;-;-;4435;-;-;-;-;-;-;-;-;-;-
Alcântaras (CE);...;-;-;-;309;52;-;-;8;8;-;...;490;-;7;1079;-;-;-;-;-;181;480;-;-;502;-;-;-;-;-;-;-;-;-;-
Altaneira (CE);...;-;-;5;50;-;-;-;-;-;-;...;-;-;127;225;-;-;-;-;-;184;31;-;-;2609;-;-;-;-;443;-;-;-;-;-
Alto Santo (CE);...;-;-;-;4747;1044;-;-;-;-;-;...;7841;-;-;1288;-;-;-;-;-;1888;11;399;-;633;-;-;-;-;-;-;-;-;-;-
Amontada (CE);...;-;-;-;72;641;-;-;-;-;-;...;7633;-;-;1625;-;-;-;-;-;9963;14;-;-;1361;-;-;-;-;-;-;-;-;-;-
Antonina do Norte (CE);...;-;-;-;-;-;-;-;-;-;-;...;-;-;73;459;-;-;-;-;-;-;12;-;-;716;-;-;-;-;-;-;-;-;-;-
Apuiarés (CE);...;-;51;-;670;-;-;-;-;-;-;...;43;-;-;2262;-;-;-;-;-;490;95;-;-;2713;-;-;-;-;-;-;-;-;-;-
Aracati (CE);...;-;-;-;3855;233;-;-;-;-;-;...;20351;-;-;1474;-;-;-;-;-;3389;349;1389;17018;1033;-;-;-;-;831;-;-;-;-;-
Aracoiaba (CE);...;-;-;-;242;-;-;-;-;-;-;...;5542;-;-;3250;-;-;-;-;-;879;362;-;-;4764;-;-;-;-;370;-;-;-;-;-
Ararendá (CE);...;-;-;-;133;-;-;-;-;-;-;...;16;-;-;183;-;-;-;-;-;28;17;-;-;2569;-;-;-;-;-;-;-;-;-;-
Araripe (CE);...;-;-;-;22;17;-;-;-;-;-;...;44;-;256;607;-;-;-;-;-;40878;45;-;-;6709;-;-;-;-;1238;-;-;-;-;-
Aratuba (CE);...;-;-;-;5966;-;-;-;148;148;-;...;10;-;949;948;-;-;-;-;-;-;81;-;-;971;-;-;-;-;19714;-;-;-;-;-
Arneiroz (CE);...;-;-;-;-;-;-;-;-;-;-;...;-;-;216;1354;-;-;-;-;-;165;9;-;-;1359;-;-;-;-;-;-;-;-;-;-
Assaré (CE);...;-;-;38;218;-;-;-;-;-;-;...;8;-;2385;3516;-;-;-;-;-;163;29;-;-;11144;-;-;-;-;1157;-;-;-;-;-
Aurora (CE);...;-;90;-;269;-;-;-;-;-;-;...;4;-;243;1787;-;-;-;-;-;89;69;-;-;7291;-;-;-;-;-;-;-;-;-;-
Baixio (CE);...;-;-;-;93;-;-;-;-;-;-;...;-;-;-;241;-;-;-;-;-;-;30;-;-;1023;-;-;-;-;-;-;-;-;-;-
Banabuiú (CE);...;-;-;-;215;77;-;-;-;-;-;...;77;-;-;3167;-;-;-;-;-;108;-;-;-;2551;-;-;-;-;246;-;-;-;-;-
Barbalha (CE);...;-;12;23;32178;-;-;-;-;-;-;...;168;-;88;2216;-;-;-;-;-;4071;1392;153;-;2253;-;-;-;-;500;-;-;-;-;2004
Barreira (CE);...;-;-;-;59;-;-;-;-;-;-;...;10960;-;22;1555;-;-;-;-;-;175;103;-;-;1083;-;-;-;-;-;-;-;-;-;-
Barro (CE);...;-;-;-;1310;128;-;-;-;-;-;...;4;-;430;2110;-;-;-;-;-;132;33;-;-;7829;-;-;-;-;3938;-;-;-;-;194
Barroquinha (CE);...;-;-;-;-;-;-;-;-;-;-;...;390;-;-;616;-;-;-;-;-;1581;11;-;-;410;-;-;-;-;-;-;-;-;-;-
Baturité (CE);...;-;-;-;2288;-;-;-;79;79;-;...;58;-;864;999;-;-;-;-;-;73;850;-;-;6824;-;-;-;-;-;-;-;-;57;-
Beberibe (CE);...;-;-;-;25;90;-;-;-;-;-;...;54327;-;-;1496;-;-;-;-;-;4381;3323;69;-;836;-;-;-;-;-;-;-;-;-;-
Bela Cruz (CE);...;-;-;-;593;38;-;-;-;-;-;...;47828;-;-;5586;-;-;-;-;-;14898;511;675;180;988;-;-;-;-;261;-;-;-;65;-
Boa Viagem (CE);...;-;89;-;64;262;-;-;-;-;-;...;3;-;369;5005;-;-;-;-;8;-;157;95;-;9906;-;-;-;-;-;-;-;-;-;-
Brejo Santo (CE);...;-;347;59;1005;-;-;-;-;-;-;...;265;-;133;2474;-;-;-;-;-;1190;2635;605;-;8533;-;-;-;-;2992;-;-;-;-;-
Camocim (CE);...;-;-;-;234;-;-;-;-;-;-;...;3692;-;-;3840;-;-;-;-;-;15777;153;81;-;1963;-;-;-;-;-;-;-;-;-;-
Campos Sales (CE);...;-;-;42;235;-;-;-;-;-;-;...;25;-;2167;1513;-;-;-;-;-;415;7;-;-;7645;-;-;-;-;1883;-;-;-;-;-
Canindé (CE);...;-;44;-;146;500;-;-;-;-;-;...;55;-;139;6188;-;-;-;-;9;342;666;-;-;8162;-;-;-;-;214;-;-;-;-;-
Capistrano (CE);...;-;-;-;2714;-;-;-;-;-;-;...;109;-;492;752;-;-;-;-;-;121;-;26;-;3159;-;-;-;-;944;-;-;-;-;-
Caridade (CE);...;-;-;-;11;206;-;-;-;-;-;...;5;-;246;11256;-;-;-;-;-;-;138;97;-;6658;-;-;-;-;-;-;-;-;-;-
Cariré (CE);...;-;-;-;4870;-;-;-;-;-;-;...;17;-;7;2633;-;-;-;-;-;105;23;-;-;3175;-;-;-;-;-;-;-;-;-;-
Caririaçu (CE);...;-;-;180;210;36;-;-;-;-;-;...;4;-;2257;1787;-;-;-;-;-;234;226;-;-;2223;-;-;-;-;924;-;-;-;-;-
Cariús (CE);...;-;-;24;4916;248;-;-;-;-;-;...;-;-;167;285;-;-;-;-;-;223;1800;137;-;1435;-;-;-;-;961;-;-;-;-;-
Carnaubal (CE);...;-;-;-;104;4678;-;-;-;-;-;...;94;-;-;577;-;-;-;-;-;1640;92;39;-;466;-;-;-;-;18980;-;-;-;-;-
Cascavel (CE);...;-;-;-;168;319;-;-;-;-;-;...;22714;-;-;1882;-;-;-;-;-;3282;1186;-;-;322;-;-;-;-;-;-;-;-;-;-
Catarina (CE);...;-;-;-;165;-;-;-;-;-;-;...;-;-;54;1359;-;-;-;-;-;188;-;-;-;3165;-;-;-;-;316;-;-;-;-;-
Catunda (CE);...;-;-;-;46;-;-;-;-;-;-;...;4;-;22;1574;-;-;-;-;-;9;11;-;-;1460;-;-;-;-;-;-;-;-;-;-
Caucaia (CE);...;-;-;-;3294;-;-;-;-;-;-;...;1199;-;-;5089;-;-;-;-;-;3015;2467;-;-;3818;-;-;-;-;-;-;-;-;-;-
Cedro (CE);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1626;-;-;-;-;-;18;32;-;-;3543;-;-;-;-;99;-;-;-;-;-
Chaval (CE);...;-;-;-;-;-;-;-;-;-;-;...;637;-;-;172;-;-;-;-;-;1295;-;-;-;125;-;-;-;-;-;-;-;-;-;-
Choró (CE);...;-;6;-;33;-;-;-;-;-;-;...;12;-;24;1633;-;-;-;-;-;41;-;-;-;1635;-;-;-;-;500;-;-;-;-;-
Chorozinho (CE);...;-;-;-;-;-;-;-;-;-;-;...;18460;-;8;155;-;-;-;-;-;771;-;-;-;267;-;-;-;-;-;-;-;-;-;-
Coreaú (CE);...;-;-;-;353;-;-;-;-;-;-;...;4;-;-;2317;-;-;-;-;-;185;12;-;-;1140;-;-;-;-;-;-;-;-;-;-
Crateús (CE);...;-;36;-;37;-;-;-;-;-;-;...;105;-;-;6409;-;-;-;-;-;140;45;156;-;26191;-;-;-;-;-;-;-;-;-;-
Crato (CE);...;-;-;725;4611;200;-;-;-;-;-;...;64;-;728;2001;-;-;-;-;-;1483;550;-;-;4707;-;-;-;-;6304;-;-;-;-;-
Croatá (CE);...;-;-;-;901;7120;-;-;-;-;-;...;105;-;6;2430;-;-;-;-;-;6797;66;3848;-;1768;-;-;-;-;21119;-;-;-;27;-
Cruz (CE);...;-;-;-;27;94;-;-;-;-;-;...;24473;-;-;993;-;-;-;-;-;8860;14;-;-;608;-;-;-;-;-;-;-;-;-;-
Deputado Irapuan Pinheiro (CE);...;-;-;-;49;50;-;-;-;-;-;...;-;-;12;2997;-;-;-;-;-;37;22;246;-;6543;-;-;-;-;1525;-;-;-;-;-
Ereré (CE);...;-;-;-;13;81;-;-;-;-;-;...;4;-;-;712;-;-;-;-;-;42;25;-;-;2902;-;-;-;-;-;-;-;-;-;-
Farias Brito (CE);...;-;-;476;1630;-;-;-;-;-;-;...;-;-;3539;1944;-;-;-;-;-;803;63;-;-;4245;-;-;-;-;6275;-;-;-;-;-
Forquilha (CE);...;-;-;-;60;60;-;-;-;-;-;...;8;-;-;1931;-;-;-;-;-;93;72;117;-;1530;-;-;-;-;-;-;-;-;-;-
Fortim (CE);...;-;-;-;-;82;-;-;-;-;-;...;14197;-;-;535;-;-;-;-;-;1013;-;193;261;285;-;-;-;-;-;-;-;-;-;-
Frecheirinha (CE);...;-;-;14;256;-;-;-;-;-;-;...;28;-;40;2109;-;-;-;-;-;214;146;38;-;2940;-;-;-;-;2344;-;-;-;13;-
General Sampaio (CE);...;-;-;-;104;249;-;-;-;-;-;...;13;-;6;1377;-;-;-;-;-;332;62;-;-;1317;-;-;-;-;-;-;-;-;-;-
Graça (CE);...;-;-;-;273;23;-;-;-;-;-;...;217;-;66;1687;-;-;-;-;-;494;252;-;-;1017;-;-;-;-;-;-;-;-;-;-
Granja (CE);...;-;-;-;231;-;-;-;-;-;-;...;5526;-;10;5190;-;-;-;-;-;17371;178;-;-;3102;-;-;-;-;-;-;-;-;-;-
Granjeiro (CE);...;-;-;8;212;64;-;-;-;-;-;...;-;-;368;423;-;-;-;-;-;267;16;32;-;777;-;-;-;-;609;-;-;-;84;-
Groaíras (CE);...;-;-;-;-;-;-;-;-;-;-;...;7;-;-;514;-;-;-;-;-;36;-;20;-;453;-;-;-;-;-;-;-;-;-;-
Guaiúba (CE);...;-;-;-;2727;-;-;-;-;-;-;...;3;-;60;72;-;-;-;-;-;109;153;375;-;151;-;-;-;-;157;-;-;-;-;-
Guaraciaba do Norte (CE);...;-;-;-;13576;43255;-;-;56;56;-;...;111;-;-;5073;-;-;-;-;-;12776;336;1527;-;1863;-;-;-;-;181125;-;-;-;33;-
Guaramiranga (CE);...;-;-;-;1256;-;-;-;894;894;-;...;-;-;146;111;-;-;-;-;-;52;82;-;-;119;-;-;-;-;494;-;-;-;-;-
Hidrolândia (CE);...;-;-;-;266;84;-;-;-;-;-;...;24;-;-;3072;-;-;-;-;-;60;78;1056;-;2430;-;-;-;-;599;-;-;-;-;-
Horizonte (CE);...;-;-;-;-;90;-;-;-;-;-;...;2573;-;-;527;-;-;-;-;-;2076;11;-;-;70;-;-;-;-;-;-;-;-;-;-
Ibaretama (CE);...;-;2;-;-;-;-;-;-;-;-;...;585;-;-;1380;-;-;-;-;-;48;10;-;-;1064;-;-;-;-;-;-;-;-;-;-
Ibiapina (CE);...;-;-;21;6157;17181;-;-;189;189;-;...;69;-;76;4147;-;-;-;-;-;3576;284;374;-;7933;-;-;11735;-;38730;-;-;-;59;-
Ibicuitinga (CE);...;-;74;-;-;-;-;-;-;-;-;...;362;-;-;750;-;-;-;-;-;265;5;-;-;1743;-;-;-;-;-;-;-;-;-;-
Icapuí (CE);...;-;-;-;638;-;-;-;-;-;-;...;10924;-;-;332;-;-;-;-;-;623;39;934;24461;127;-;-;-;-;-;-;-;-;-;-
Icó (CE);...;-;56;36;3887;168;-;-;-;-;-;...;8;-;242;3587;-;-;-;-;-;117;285;93;-;7160;-;-;-;-;887;-;-;-;-;-
Iguatu (CE);...;-;18;-;20162;777;-;-;-;-;-;...;4;-;88;1887;-;-;-;-;-;1797;45;102;-;6505;-;-;-;-;1968;-;-;-;-;-
Independência (CE);...;-;21;-;7;-;-;-;-;-;-;...;-;-;-;11922;-;-;-;-;-;16;6;-;-;19137;-;-;-;-;-;-;-;-;-;-
Ipaporanga (CE);...;-;-;-;86;-;-;-;-;-;-;...;8;-;-;2315;-;-;-;-;-;133;7;-;-;6825;-;-;-;-;-;-;-;-;-;-
Ipaumirim (CE);...;-;-;-;94;-;-;-;-;-;-;...;-;-;7;596;-;-;-;-;-;160;93;-;-;2277;-;-;-;-;-;-;-;-;-;-
Ipu (CE);...;-;-;-;5027;9340;-;-;37;37;-;...;425;-;49;10679;-;-;-;-;-;6408;1149;927;-;13507;-;189;-;-;28674;-;-;-;72;-
Ipueiras (CE);...;-;-;-;1278;695;-;-;76;76;-;...;283;-;39;2078;-;-;-;-;-;1802;459;632;-;5693;-;-;-;-;8276;-;-;-;33;-
Iracema (CE);...;-;3;-;32;-;-;-;-;-;-;...;16;-;63;481;-;-;-;-;-;137;280;-;-;1309;-;-;-;-;-;-;-;-;-;-
Irauçuba (CE);...;-;62;-;23;-;-;-;-;-;-;...;4;-;-;1378;-;-;-;-;-;28;30;15;7;1159;-;-;-;-;-;-;-;-;-;-
Itaiçaba (CE);...;-;-;-;52;-;-;-;-;-;-;...;381;-;-;462;-;-;-;-;-;2091;-;-;-;218;-;-;-;-;-;-;-;-;-;-
Itapajé (CE);...;-;84;-;20315;-;-;-;-;-;-;...;175;-;120;1297;-;-;-;-;-;343;699;-;-;1907;-;-;-;-;-;-;-;-;-;-
Itapipoca (CE);...;-;-;-;14821;208;-;-;-;-;-;...;16100;-;89;1603;-;-;-;-;-;13667;161;-;-;2938;-;-;-;-;-;-;-;-;-;-
