codigo_ibge,nome,codigo_uf,nome_porto,transportation_cost
2200301,Alto Longá,22,natal,30006.3938109648
2300705,Alto Santo,23,suape,27368.2284685468
2300705,Alto Santo,23,aratu,27006.168522969
2300705,Alto Santo,23,natal,28127.7478671271
2200400,Altos,22,suape,29430.3839511664
2200400,Altos,22,aratu,28795.4151309109
2200400,Altos,22,natal,30226.6644242447
2200459,Alvorada do Gurguéia,22,suape,28411.0026777647
2200459,Alvorada do Gurguéia,22,aratu,27497.4600037179
2200459,Alvorada do Gurguéia,22,natal,29244.7757464674
2200509,Amarante,22,suape,29014.4593874426
2200509,Amarante,22,aratu,28287.5444967229
2200509,Amarante,22,natal,29823.782890953
2901007,Amargosa,29,suape,24314.0347870437
2901007,Amargosa,29,aratu,23394.9695057942
2901007,Amargosa,29,natal,25153.8740051934
2901155,América Dourada,29,suape,25908.1887315905
2901155,América Dourada,29,aratu,24964.8047540194
2901155,América Dourada,29,natal,26748.6374753301
2300754,Amontada,23,suape,29132.1542982215
2300754,Amontada,23,aratu,28769.1930991896
2300754,Amontada,23,natal,29888.9298256636
2500734,Amparo,25,suape,25806.0321997059
2500734,Amparo,25,aratu,25422.8247815416
2500734,Amparo,25,natal,26571.55273455
3501905,Amparo,35,suape,24212.5622801544
3501905,Amparo,35,aratu,22170.9036540854
3501905,Amparo,35,natal,25139.6963825587
2800100,Amparo de São Francisco,28,suape,24456.8648473187
2800100,Amparo de São Francisco,28,aratu,23929.0425162285
2800100,Amparo de São Francisco,28,natal,25246.0069151972
2901205,Anagé,29,suape,24349.7987143248
2901205,Anagé,29,aratu,23213.3703444794
2901205,Anagé,29,natal,25213.4732305783
2901304,Andaraí,29,suape,25240.1372249588
2901304,Andaraí,29,aratu,24214.8067471032
2901304,Andaraí,29,natal,26090.7980917684
2901353,Andorinha,29,suape,25667.2457072273
2901353,Andorinha,29,aratu,24906.2882853418
2901353,Andorinha,29,natal,26485.6976459295
2601003,Angelim,26,suape,24800.2526614643
2601003,Angelim,26,aratu,24400.3613644453
2601003,Angelim,26,natal,25570.1892940584
2901403,Angical,29,suape,27239.4961175063
2901403,Angical,29,aratu,26048.4984558418
2901403,Angical,29,natal,28105.5318433608
2200608,Angical do Piauí,22,suape,29042.6926723667
2200608,Angical do Piauí,22,aratu,28331.3507354077
2200608,Angical do Piauí,22,natal,29849.9013821811
2400802,Angicos,24,suape,26595.0092762706
2400802,Angicos,24,aratu,26352.5495627634
2400802,Angicos,24,natal,27337.1757144298
2901502,Anguera,29,suape,24547.9469627755
2901502,Anguera,29,aratu,23713.7563455957
2901502,Anguera,29,natal,25377.2827316005
2200707,Anísio de Abreu,22,suape,27712.8942249208
2200707,Anísio de Abreu,22,aratu,26801.6734531211
2200707,Anísio de Abreu,22,natal,28547.226779445
2901601,Antas,29,suape,24963.649450313
2901601,Antas,29,aratu,24311.3139496648
2901601,Antas,29,natal,25769.0041511055
2300804,Antonina do Norte,23,suape,27473.0146915874
2300804,Antonina do Norte,23,aratu,26914.9973455106
2300804,Antonina do Norte,23,natal,28261.3060488477
2901700,Antônio Cardoso,29,suape,24354.5588267074
2901700,Antônio Cardoso,29,aratu,23510.5690767777
2901700,Antônio Cardoso,29,natal,25185.3899199166
2901809,Antônio Gonçalves,29,suape,25763.0951837752
2901809,Antônio Gonçalves,29,aratu,24956.153735594
2901809,Antônio Gonçalves,29,natal,26587.2264300909
2400901,Antônio Martins,24,suape,26840.8290260147
2400901,Antônio Martins,24,aratu,26469.8128893385
2400901,Antônio Martins,24,natal,27602.6332848511
2500775,Aparecida,25,suape,26633.7753576549
2500775,Aparecida,25,aratu,26215.9898351522
2500775,Aparecida,25,natal,27403.0055418691
3502507,Aparecida,35,suape,23339.1756412864
3502507,Aparecida,35,aratu,21355.4583270075
3502507,Aparecida,35,natal,24264.5658735445
2401008,Apodi,24,suape,27091.2201722313
2401008,Apodi,24,aratu,26757.5803221127
2401008,Apodi,24,natal,27846.8379600512
2300903,Apuiarés,23,suape,28664.5523252286
2300903,Apuiarés,23,aratu,28299.7128743629
2300903,Apuiarés,23,natal,29422.3562891377
2800209,Aquidabã,28,suape,24421.7121170469
2800209,Aquidabã,28,aratu,23878.5986706882
2800209,Aquidabã,28,natal,25213.0680373542
2500809,Araçagi,25,suape,25466.1735452931
2500809,Araçagi,25,aratu,25257.7162863333
2500809,Araçagi,25,natal,26205.100597903
2301109,Aracati,23,suape,27648.3337678574
2301109,Aracati,23,aratu,27375.0116862746
2301109,Aracati,23,natal,28393.504492946
2902005,Aracatu,29,suape,24592.6454525488
2902005,Aracatu,29,aratu,23447.3131216405
2902005,Aracatu,29,natal,25456.9354920796
2902104,Araci,29,suape,24798.0786952337
2902104,Araci,29,aratu,24039.1360867441
2902104,Araci,29,natal,25617.629073494
2601052,Araçoiaba,26,suape,24854.6393137306
2601052,Araçoiaba,26,aratu,24617.4120189986
2601052,Araçoiaba,26,natal,25599.4341888583
2301208,Aracoiaba,23,suape,28183.0107371722
2301208,Aracoiaba,23,aratu,27841.6246269595
2301208,Aracoiaba,23,natal,28937.9662127669
3103405,Araçuaí,31,suape,23875.7966358691
3103405,Araçuaí,31,aratu,22517.9425717829
3103405,Araçuaí,31,natal,24761.093257399
2100907,Araioses,21,suape,30260.0041618661
2100907,Araioses,21,aratu,29775.9551010153
2100907,Araioses,21,natal,31033.4725017727
2700300,Arapiraca,27,suape,24524.662332878
2700300,Arapiraca,27,aratu,24042.1660716787
2700300,Arapiraca,27,natal,25307.2232460833
2500908,Arara,25,suape,25631.3280149163
2500908,Arara,25,aratu,25392.8750105021
2500908,Arara,25,natal,26374.7265916217
2301257,Ararendá,23,suape,28855.9286259801
2301257,Ararendá,23,aratu,28349.1663153951
2301257,Ararendá,23,natal,29634.7539896853
2301307,Araripe,23,suape,27319.3093485384
2301307,Araripe,23,aratu,26725.267611036
2301307,Araripe,23,natal,28112.9070754298
2601102,Araripina,26,suape,27304.0210293889
2601102,Araripina,26,aratu,26663.7322687845
2601102,Araripina,26,natal,28104.0334493158
4101705,Araruna,41,suape,26938.2361305653
4101705,Araruna,41,aratu,24596.9556589248
4101705,Araruna,41,natal,27870.4463924507
2501005,Araruna,25,suape,25775.2133514569
2501005,Araruna,25,aratu,25552.6101519883
2501005,Araruna,25,natal,26515.7896723527
2301406,Aratuba,23,suape,28259.4647030636
2301406,Aratuba,23,aratu,27898.5432884562
2301406,Aratuba,23,natal,29017.3184097912
2601201,Arcoverde,26,suape,25368.0291184892
2601201,Arcoverde,26,aratu,24935.1445897234
2601201,Arcoverde,26,natal,26141.7757126453
2501104,Areia,25,suape,25536.7417217639
2501104,Areia,25,aratu,25295.3821238311
2501104,Areia,25,natal,26280.7928081748
2401107,Areia Branca,24,suape,27176.6797775949
2401107,Areia Branca,24,aratu,26931.6875282552
2401107,Areia Branca,24,natal,27918.1726732887
2800506,Areia Branca,28,suape,24325.5282847205
2800506,Areia Branca,28,aratu,23727.5856332826
2800506,Areia Branca,28,natal,25124.6442093068
2501153,Areia de Baraúnas,25,suape,25977.7706400208
2501153,Areia de Baraúnas,25,aratu,25629.0715165213
2501153,Areia de Baraúnas,25,natal,26737.726091959
2501203,Areial,25,suape,25589.9089403546
2501203,Areial,25,aratu,25325.0690094099
2501203,Areial,25,natal,26337.5745210867
2301505,Arneiroz,23,suape,27777.0059601232
2301505,Arneiroz,23,aratu,27231.6154133078
2301505,Arneiroz,23,natal,28563.0323437551
2200905,Aroazes,22,suape,28598.7792624865
2200905,Aroazes,22,aratu,27951.2706746135
2200905,Aroazes,22,natal,29397.9235568241
2501302,Aroeiras,25,suape,25238.7097925826
2501302,Aroeiras,25,aratu,24963.9815742313
2501302,Aroeiras,25,natal,25988.6331767236
2200954,Aroeiras do Itaim,22,suape,27932.0859065888
2200954,Aroeiras do Itaim,22,aratu,27237.6497075511
2200954,Aroeiras do Itaim,22,natal,28738.5268967332
2201002,Arraial,22,suape,28679.5593420392
2201002,Arraial,22,aratu,27949.9977917451
2201002,Arraial,22,natal,29489.6708060193
2301604,Assaré,23,suape,27372.2541413493
2301604,Assaré,23,aratu,26817.2358875973
2301604,Assaré,23,natal,28160.2758626322
2501351,Assunção,25,suape,25909.6692838466
2501351,Assunção,25,aratu,25580.3910351352
2501351,Assunção,25,natal,26666.7682011256
2201051,Assunção do Piauí,22,suape,28387.8722103925
2201051,Assunção do Piauí,22,aratu,27805.6000544869
2201051,Assunção do Piauí,22,natal,29178.2274177395
2301703,Aurora,23,suape,26945.9200954029
2301703,Aurora,23,aratu,26452.679244993
2301703,Aurora,23,natal,27725.7484037818
4201901,Aurora,42,suape,24421.1883485079
4201901,Aurora,42,aratu,21949.6982184886
4201901,Aurora,42,natal,25352.3534943033
2201101,Avelino Lopes,22,suape,27709.7288237986
2201101,Avelino Lopes,22,aratu,26682.0397119382
2201101,Avelino Lopes,22,natal,28557.6770272536
2902500,Baianópolis,29,suape,27031.0950780684
2902500,Baianópolis,29,aratu,25831.1999211278
2902500,Baianópolis,29,natal,27898.2460141925
2902609,Baixa Grande,29,suape,25072.1219992438
2902609,Baixa Grande,29,aratu,24184.2030816493
2902609,Baixa Grande,29,natal,25907.1710418123
2301802,Baixio,23,suape,26940.0980436389
2301802,Baixio,23,aratu,26478.3513727897
2301802,Baixio,23,natal,27715.3294609329
2301851,Banabuiú,23,suape,27744.6617793359
2301851,Banabuiú,23,aratu,27346.067533324
2301851,Banabuiú,23,natal,28509.1218110084
2501500,Bananeiras,25,suape,25619.4774675047
2501500,Bananeiras,25,aratu,25395.9960831874
2501500,Bananeiras,25,natal,26360.5069308243
3105202,Bandeira,31,suape,23526.2843106928
3105202,Bandeira,31,aratu,22337.7141719842
3105202,Bandeira,31,natal,24396.237543575
2902658,Banzaê,29,suape,24998.4453492032
2902658,Banzaê,29,aratu,24312.6659442676
2902658,Banzaê,29,natal,25808.1876618128
2401453,Baraúna,24,suape,27317.4918505587
2401453,Baraúna,24,aratu,27028.9764865716
2401453,Baraúna,24,natal,28065.6530544789
2501534,Baraúna,25,suape,25941.1475457589
2501534,Baraúna,25,aratu,25673.0252542079
2501534,Baraúna,25,natal,26688.6427308651
2301901,Barbalha,23,suape,26907.5879148612
2301901,Barbalha,23,aratu,26369.3153083959
2301901,Barbalha,23,natal,27693.9616128634
2401503,Barcelona,24,suape,26164.5279882491
2401503,Barcelona,24,aratu,25960.8271631736
2401503,Barcelona,24,natal,26901.2861747412
2902708,Barra,29,suape,26888.7533545177
2902708,Barra,29,aratu,25854.2209631653
2902708,Barra,29,natal,27738.4136294988
2201176,Barra D'Alcântara,22,suape,28550.3181421334
2201176,Barra D'Alcântara,22,aratu,27857.2959889831
2201176,Barra D'Alcântara,22,natal,29355.7204728603
2902807,Barra da Estiva,29,suape,24879.5555040296
2902807,Barra da Estiva,29,aratu,23798.5023253903
2902807,Barra da Estiva,29,natal,25736.7529534689
2501609,Barra de Santa Rosa,25,suape,25817.6950521766
2501609,Barra de Santa Rosa,25,aratu,25560.3289059267
2501609,Barra de Santa Rosa,25,natal,26563.7298446843
2501575,Barra de Santana,25,suape,25371.5118624613
2501575,Barra de Santana,25,aratu,25075.333779167
2501575,Barra de Santana,25,natal,26124.5224231913
2501708,Barra de São Miguel,25,suape,25393.026859758
2501708,Barra de São Miguel,25,aratu,25057.4252819904
2501708,Barra de São Miguel,25,natal,26152.088133606
2700607,Barra de São Miguel,27,suape,24153.6401352439
2700607,Barra de São Miguel,27,aratu,23726.8215580737
2700607,Barra de São Miguel,27,natal,24928.8402744685
2902906,Barra do Choça,29,suape,23968.1296807257
2902906,Barra do Choça,29,aratu,22851.6801497393
2902906,Barra do Choça,29,natal,24830.2251172905
2903003,Barra do Mendes,29,suape,26038.4197291605
2903003,Barra do Mendes,29,aratu,25029.3488088537
2903003,Barra do Mendes,29,natal,26886.2457008157
2201200,Barras,22,suape,29748.87786185
2201200,Barras,22,aratu,29167.9319830515
2201200,Barras,22,natal,30537.1352125266
2301950,Barreira,23,suape,28152.9268490249
2301950,Barreira,23,aratu,27828.2259549235
2301950,Barreira,23,natal,28905.3323839609
2903201,Barreiras,29,suape,27326.2881008852
2903201,Barreiras,29,aratu,26108.4657757576
2903201,Barreiras,29,natal,28194.9543020644
2302008,Barro,23,suape,26738.9864863257
2302008,Barro,23,aratu,26247.0578133115
2302008,Barro,23,natal,27518.9664016855
2903235,Barro Alto,29,suape,25986.915978409
2903235,Barro Alto,29,aratu,24991.3597160448
2903235,Barro Alto,29,natal,26833.2763564831
5203203,Barro Alto,52,suape,28145.0427548156
5203203,Barro Alto,52,aratu,26529.3715796463
5203203,Barro Alto,52,natal,29047.6462518
2903276,Barrocas,29,suape,24758.2377705636
2903276,Barrocas,29,aratu,23977.3075787109
2903276,Barrocas,29,natal,25580.634266034
2302057,Barroquinha,23,suape,29862.6131376602
2302057,Barroquinha,23,aratu,29424.8618018285
2302057,Barroquinha,23,natal,30629.7183784028
2201507,Batalha,22,suape,29765.7366113451
2201507,Batalha,22,aratu,29211.063407027
2201507,Batalha,22,natal,30550.2115370721
2700706,Batalha,27,suape,24771.9003078585
2700706,Batalha,27,aratu,24257.1105782311
2700706,Batalha,27,natal,25558.6121714932
2302107,Baturité,23,suape,28234.0084098548
2302107,Baturité,23,aratu,27889.8025626457
2302107,Baturité,23,natal,28989.3174960588
2302206,Beberibe,23,suape,27995.9667960792
2302206,Beberibe,23,aratu,27715.4590504937
2302206,Beberibe,23,natal,28741.6754752684
2302305,Bela Cruz,23,suape,29435.0806927412
2302305,Bela Cruz,23,aratu,29063.8421315427
2302305,Bela Cruz,23,natal,30192.6678570897
2201556,Bela Vista do Piauí,22,suape,27726.9136273228
2201556,Bela Vista do Piauí,22,aratu,26966.3098068091
2201556,Bela Vista do Piauí,22,natal,28542.3681931953
1501402,Belém,15,suape,33918.8719687319
1501402,Belém,15,aratu,33091.3586908062
1501402,Belém,15,natal,34735.9242006457
2501906,Belém,25,suape,25577.7794036654
2501906,Belém,25,aratu,25363.3106769365
2501906,Belém,25,natal,26317.4464105576
2700805,Belém,27,suape,24541.8726607442
2700805,Belém,27,aratu,24084.3782592925
2700805,Belém,27,natal,25320.7870954422
2502003,Belém do Brejo do Cruz,25,suape,26707.7794249915
2502003,Belém do Brejo do Cruz,25,aratu,26364.9652312752
2502003,Belém do Brejo do Cruz,25,natal,27465.4962558426
2201572,Belém do Piauí,22,suape,27617.7294992082
2201572,Belém do Piauí,22,aratu,26955.6391243211
2201572,Belém do Piauí,22,natal,28420.2530326975
2601607,Belém do São Francisco,26,suape,26039.3159280679
2601607,Belém do São Francisco,26,aratu,25440.9490259406
2601607,Belém do São Francisco,26,natal,26835.5367079594
2903508,Belo Campo,29,suape,24233.9349159393
2903508,Belo Campo,29,aratu,23059.2586812928
2903508,Belo Campo,29,natal,25101.6358688641
2601706,Belo Jardim,26,suape,25138.7982951474
2601706,Belo Jardim,26,aratu,24760.8290899718
2601706,Belo Jardim,26,natal,25904.7924877164
2700904,Belo Monte,27,suape,24762.119811136
2700904,Belo Monte,27,aratu,24226.8637425135
2700904,Belo Monte,27,natal,25551.744492671
2201606,Beneditinos,22,suape,29181.0013262765
2201606,Beneditinos,22,aratu,28529.8647510004
2201606,Beneditinos,22,natal,29979.8511233472
2401602,Bento Fernandes,24,suape,26247.3569532732
2401602,Bento Fernandes,24,aratu,26065.6128678558
2401602,Bento Fernandes,24,natal,26980.3818430229
3106507,Berilo,31,suape,24035.1149190077
3106507,Berilo,31,aratu,22644.9374411713
3106507,Berilo,31,natal,24923.0415356539
3106655,Berizal,31,suape,24227.3093611875
3106655,Berizal,31,aratu,22980.0900576884
3106655,Berizal,31,natal,25102.1129170144
2502052,Bernardino Batista,25,suape,27008.7853091779
2502052,Bernardino Batista,25,aratu,26574.4331895919
2502052,Bernardino Batista,25,natal,27779.8456667544
2201705,Bertolínia,22,suape,28862.6212065972
2201705,Bertolínia,22,aratu,27983.9196944361
2201705,Bertolínia,22,natal,29691.6010283271
2601805,Betânia,26,suape,25867.2121966216
2601805,Betânia,26,aratu,25367.4685210559
2601805,Betânia,26,natal,26649.8067270221
2201739,Betânia do Piauí,22,suape,27163.1899442205
2201739,Betânia do Piauí,22,aratu,26467.7906357457
2201739,Betânia do Piauí,22,natal,27970.8537417637
2601904,Bezerros,26,suape,24921.5729640333
2601904,Bezerros,26,aratu,24600.0152261277
2601904,Bezerros,26,natal,25679.4096769886
2903607,Biritinga,29,suape,24594.2658394713
2903607,Biritinga,29,aratu,23828.2985283792
2903607,Biritinga,29,natal,25415.0357462022
2201770,Boa Hora,22,suape,29595.2544353138
2201770,Boa Hora,22,aratu,29015.9344978924
2201770,Boa Hora,22,natal,30383.4898038388
2903706,Boa Nova,29,suape,24006.5252301682
2903706,Boa Nova,29,aratu,22951.6830056528
2903706,Boa Nova,29,natal,24862.0521924207
2502102,Boa Ventura,25,suape,26374.3445804886
2502102,Boa Ventura,25,aratu,25911.0963426456
2502102,Boa Ventura,25,natal,27150.7567468976
2302404,Boa Viagem,23,suape,28194.4798298168
2302404,Boa Viagem,23,aratu,27746.2678497348
2302404,Boa Viagem,23,natal,28965.6740616136
1400100,Boa Vista,14,suape,41732.4521578096
1400100,Boa Vista,14,aratu,40478.9476121132
1400100,Boa Vista,14,natal,42594.4265421084
2502151,Boa Vista,25,suape,25605.2991468359
2502151,Boa Vista,25,aratu,25303.9802776665
2502151,Boa Vista,25,natal,26358.6506664249
2903805,Boa Vista do Tupim,29,suape,24961.9320771968
2903805,Boa Vista do Tupim,29,aratu,23996.8175019276
2903805,Boa Vista do Tupim,29,natal,25806.172638426
2201804,Bocaina,22,suape,27982.356108021
2201804,Bocaina,22,aratu,27320.2718746298
2201804,Bocaina,22,natal,28784.3570125633
3506805,Bocaina,35,suape,25341.797569007
3506805,Bocaina,35,aratu,23266.7765493356
3506805,Bocaina,35,natal,26269.6883084033
2401651,Bodó,24,suape,26347.0402978102
2401651,Bodó,24,aratu,26102.3389289006
2401651,Bodó,24,natal,27090.0359252491
2602001,Bodocó,26,suape,26951.2876581615
2602001,Bodocó,26,aratu,26339.1901248813
2602001,Bodocó,26,natal,27747.9579193659
2602100,Bom Conselho,26,suape,24827.7437383401
2602100,Bom Conselho,26,aratu,24379.1350155972
2602100,Bom Conselho,26,natal,25604.8153079913
3300506,Bom Jardim,33,suape,22072.5280553577
3300506,Bom Jardim,33,aratu,20281.9671285169
3300506,Bom Jardim,33,natal,22989.8231830667
2602209,Bom Jardim,26,suape,25054.6920199097
2602209,Bom Jardim,26,aratu,24775.9841753511
2602209,Bom Jardim,26,natal,25805.6117182748
2102002,Bom Jardim,21,suape,31585.8169872835
2102002,Bom Jardim,21,aratu,30826.1607497041
2102002,Bom Jardim,21,natal,32396.3912862729
4202537,Bom Jesus,42,suape,26081.0358147775
4202537,Bom Jesus,42,aratu,23567.2738517629
4202537,Bom Jesus,42,natal,27011.5669020045
4302303,Bom Jesus,43,suape,24514.9256935008
4302303,Bom Jesus,43,aratu,21930.4876495963
4302303,Bom Jesus,43,natal,25443.2386326463
2201903,Bom Jesus,22,suape,28388.2090361714
2201903,Bom Jesus,22,aratu,27399.0220342858
2201903,Bom Jesus,22,natal,29230.9799202612
2401701,Bom Jesus,24,suape,26000.7350754819
2401701,Bom Jesus,24,aratu,25822.3392288125
2401701,Bom Jesus,24,natal,26733.7042405153
2502201,Bom Jesus,25,suape,26861.8631356105
2502201,Bom Jesus,25,aratu,26399.7589934602
2502201,Bom Jesus,25,natal,27637.2781494056
2903904,Bom Jesus da Lapa,29,suape,26061.816088218
2903904,Bom Jesus da Lapa,29,aratu,24870.4056142821
2903904,Bom Jesus da Lapa,29,natal,26929.1170233907
2903953,Bom Jesus da Serra,29,suape,24152.8128887505
2903953,Bom Jesus da Serra,29,aratu,23076.2945987312
2903953,Bom Jesus da Serra,29,natal,25010.466637558
2201919,Bom Princípio do Piauí,22,suape,29990.5370157929
2201919,Bom Princípio do Piauí,22,aratu,29508.9171743584
2201919,Bom Princípio do Piauí,22,natal,30764.0230122023
3108008,Bom Sucesso,31,suape,23695.7159829878
3108008,Bom Sucesso,31,aratu,21872.7871638152
3108008,Bom Sucesso,31,natal,24613.7780574827
4103206,Bom Sucesso,41,suape,26606.1779766676
4103206,Bom Sucesso,41,aratu,24303.8948636183
4103206,Bom Sucesso,41,natal,27538.2199824648
2502300,Bom Sucesso,25,suape,26741.2054280244
2502300,Bom Sucesso,25,aratu,26354.5145047208
2502300,Bom Sucesso,25,natal,27505.5672635593
2201929,Bonfim do Piauí,22,suape,27647.7079860611
2201929,Bonfim do Piauí,22,aratu,26748.7756060142
2201929,Bonfim do Piauí,22,natal,28480.6353225523
2904001,Boninal,29,suape,25525.327092804
2904001,Boninal,29,aratu,24472.8652800311
2904001,Boninal,29,natal,26378.6181659097
2602308,Bonito,26,suape,24770.9424456861
2602308,Bonito,26,aratu,24440.8375857883
2602308,Bonito,26,natal,25530.3949428726
2904050,Bonito,29,suape,25586.3527230773
2904050,Bonito,29,aratu,24620.908964945
2904050,Bonito,29,natal,26429.7872864236
1501600,Bonito,15,suape,33418.9759369954
1501600,Bonito,15,aratu,32666.0867190389
1501600,Bonito,15,natal,34226.655452589
5002209,Bonito,50,suape,29982.6249708717
5002209,Bonito,50,aratu,27677.1748462787
5002209,Bonito,50,natal,30914.5439019546
3108255,Bonito de Minas,31,suape,25864.7806137083
3108255,Bonito de Minas,31,aratu,24452.3605884253
3108255,Bonito de Minas,31,natal,26752.9152987677
2502409,Bonito de Santa Fé,25,suape,26554.2010428265
2502409,Bonito de Santa Fé,25,aratu,26073.6986780207
2502409,Bonito de Santa Fé,25,natal,27332.8285178693
2502508,Boqueirão,25,suape,25446.1138264745
2502508,Boqueirão,25,aratu,25140.5075108952
2502508,Boqueirão,25,natal,26200.4430611513
2201945,Boqueirão do Piauí,22,suape,29555.0829244819
2201945,Boqueirão do Piauí,22,aratu,28973.1362962782
2201945,Boqueirão do Piauí,22,natal,30343.7467803027
2904100,Boquira,29,suape,25915.4956164138
2904100,Boquira,29,aratu,24795.9450744002
2904100,Boquira,29,natal,26775.5363685077
